100 50
1 1 T
1 2 N
1 3 N
1 4 H
1 5 N
1 6 N
1 7 T
1 8 N
1 9 B
1 10 N
1 11 N
1 12 T
1 13 H
1 14 T
1 15 T
1 16 N
1 17 N
1 18 H
1 19 H
1 20 T
1 21 N
1 22 T
1 23 H
1 24 N
1 25 H
1 26 N
1 27 N
1 28 N
1 29 N
1 30 N
1 31 N
1 32 N
1 33 N
1 34 N
1 35 H
1 36 T
1 37 H
1 38 T
1 39 H
1 40 H
1 41 N
1 42 T
1 43 N
1 44 H
1 45 N
1 46 T
1 47 T
1 48 H
1 49 N
1 50 N
2 1 H
2 2 T
2 3 N
2 4 B
2 5 N
2 6 N
2 7 N
2 8 N
2 9 H
2 10 N
2 11 N
2 12 N
2 13 N
2 14 N
2 15 N
2 16 B
2 17 T
2 18 H
2 19 N
2 20 H
2 21 N
2 22 N
2 23 N
2 24 T
2 25 N
2 26 N
2 27 T
2 28 N
2 29 N
2 30 H
2 31 B
2 32 T
2 33 N
2 34 T
2 35 N
2 36 B
2 37 N
2 38 N
2 39 N
2 40 N
2 41 T
2 42 N
2 43 T
2 44 N
2 45 T
2 46 T
2 47 N
2 48 N
2 49 N
2 50 T
3 1 T
3 2 N
3 3 N
3 4 H
3 5 H
3 6 N
3 7 N
3 8 H
3 9 H
3 10 B
3 11 N
3 12 H
3 13 T
3 14 N
3 15 B
3 16 N
3 17 B
3 18 H
3 19 H
3 20 N
3 21 T
3 22 N
3 23 N
3 24 B
3 25 T
3 26 N
3 27 N
3 28 N
3 29 T
3 30 N
3 31 T
3 32 H
3 33 T
3 34 N
3 35 B
3 36 T
3 37 N
3 38 T
3 39 N
3 40 N
3 41 N
3 42 H
3 43 T
3 44 N
3 45 N
3 46 N
3 47 B
3 48 N
3 49 N
3 50 B
4 1 B
4 2 N
4 3 T
4 4 H
4 5 H
4 6 T
4 7 N
4 8 T
4 9 T
4 10 H
4 11 H
4 12 T
4 13 T
4 14 N
4 15 H
4 16 N
4 17 H
4 18 N
4 19 B
4 20 N
4 21 N
4 22 T
4 23 T
4 24 N
4 25 N
4 26 H
4 27 T
4 28 T
4 29 H
4 30 N
4 31 N
4 32 H
4 33 N
4 34 N
4 35 N
4 36 N
4 37 H
4 38 N
4 39 T
4 40 T
4 41 B
4 42 T
4 43 T
4 44 B
4 45 T
4 46 N
4 47 B
4 48 N
4 49 N
4 50 N
5 1 N
5 2 H
5 3 H
5 4 B
5 5 N
5 6 N
5 7 N
5 8 N
5 9 N
5 10 B
5 11 B
5 12 T
5 13 H
5 14 H
5 15 T
5 16 N
5 17 H
5 18 H
5 19 N
5 20 N
5 21 N
5 22 T
5 23 H
5 24 N
5 25 H
5 26 N
5 27 T
5 28 N
5 29 H
5 30 T
5 31 N
5 32 T
5 33 N
5 34 H
5 35 N
5 36 N
5 37 H
5 38 N
5 39 N
5 40 N
5 41 N
5 42 B
5 43 H
5 44 N
5 45 H
5 46 N
5 47 N
5 48 H
5 49 T
5 50 B
6 1 H
6 2 H
6 3 N
6 4 N
6 5 H
6 6 T
6 7 T
6 8 B
6 9 N
6 10 N
6 11 T
6 12 N
6 13 H
6 14 H
6 15 N
6 16 N
6 17 N
6 18 N
6 19 N
6 20 N
6 21 N
6 22 T
6 23 N
6 24 H
6 25 N
6 26 N
6 27 T
6 28 T
6 29 N
6 30 N
6 31 T
6 32 N
6 33 H
6 34 T
6 35 N
6 36 N
6 37 T
6 38 H
6 39 T
6 40 B
6 41 N
6 42 H
6 43 N
6 44 N
6 45 N
6 46 H
6 47 H
6 48 N
6 49 N
6 50 N
7 1 T
7 2 N
7 3 H
7 4 B
7 5 H
7 6 N
7 7 T
7 8 H
7 9 T
7 10 T
7 11 T
7 12 N
7 13 N
7 14 T
7 15 N
7 16 N
7 17 N
7 18 N
7 19 N
7 20 H
7 21 H
7 22 B
7 23 B
7 24 N
7 25 N
7 26 H
7 27 T
7 28 N
7 29 N
7 30 N
7 31 B
7 32 T
7 33 B
7 34 N
7 35 T
7 36 H
7 37 H
7 38 N
7 39 N
7 40 B
7 41 H
7 42 N
7 43 H
7 44 N
7 45 H
7 46 T
7 47 N
7 48 B
7 49 T
7 50 H
8 1 T
8 2 B
8 3 T
8 4 N
8 5 H
8 6 H
8 7 N
8 8 N
8 9 B
8 10 N
8 11 B
8 12 N
8 13 T
8 14 N
8 15 T
8 16 N
8 17 N
8 18 H
8 19 B
8 20 T
8 21 N
8 22 B
8 23 N
8 24 N
8 25 N
8 26 N
8 27 N
8 28 T
8 29 H
8 30 T
8 31 N
8 32 H
8 33 T
8 34 H
8 35 H
8 36 N
8 37 N
8 38 T
8 39 N
8 40 N
8 41 N
8 42 H
8 43 N
8 44 N
8 45 N
8 46 B
8 47 N
8 48 N
8 49 N
8 50 T
9 1 H
9 2 N
9 3 H
9 4 H
9 5 T
9 6 N
9 7 B
9 8 N
9 9 B
9 10 B
9 11 N
9 12 H
9 13 N
9 14 N
9 15 N
9 16 B
9 17 T
9 18 N
9 19 T
9 20 H
9 21 H
9 22 H
9 23 N
9 24 N
9 25 N
9 26 N
9 27 T
9 28 T
9 29 H
9 30 N
9 31 T
9 32 B
9 33 N
9 34 T
9 35 N
9 36 H
9 37 N
9 38 B
9 39 N
9 40 T
9 41 N
9 42 N
9 43 T
9 44 N
9 45 H
9 46 N
9 47 H
9 48 N
9 49 B
9 50 N
10 1 T
10 2 N
10 3 N
10 4 B
10 5 N
10 6 N
10 7 N
10 8 H
10 9 N
10 10 H
10 11 N
10 12 T
10 13 N
10 14 H
10 15 H
10 16 H
10 17 T
10 18 B
10 19 N
10 20 N
10 21 N
10 22 T
10 23 N
10 24 H
10 25 B
10 26 T
10 27 T
10 28 B
10 29 H
10 30 H
10 31 T
10 32 N
10 33 H
10 34 N
10 35 N
10 36 T
10 37 N
10 38 H
10 39 N
10 40 B
10 41 H
10 42 B
10 43 H
10 44 N
10 45 N
10 46 T
10 47 N
10 48 N
10 49 T
10 50 N
11 1 N
11 2 N
11 3 H
11 4 H
11 5 N
11 6 N
11 7 N
11 8 N
11 9 N
11 10 N
11 11 H
11 12 N
11 13 N
11 14 N
11 15 N
11 16 N
11 17 H
11 18 H
11 19 N
11 20 N
11 21 B
11 22 T
11 23 T
11 24 T
11 25 T
11 26 H
11 27 N
11 28 N
11 29 N
11 30 H
11 31 N
11 32 N
11 33 N
11 34 N
11 35 H
11 36 N
11 37 N
11 38 H
11 39 H
11 40 N
11 41 N
11 42 N
11 43 B
11 44 N
11 45 T
11 46 N
11 47 T
11 48 B
11 49 N
11 50 N
12 1 T
12 2 T
12 3 T
12 4 B
12 5 N
12 6 H
12 7 H
12 8 N
12 9 T
12 10 B
12 11 B
12 12 T
12 13 H
12 14 T
12 15 N
12 16 N
12 17 N
12 18 H
12 19 N
12 20 N
12 21 B
12 22 H
12 23 T
12 24 N
12 25 T
12 26 T
12 27 N
12 28 B
12 29 N
12 30 T
12 31 H
12 32 N
12 33 N
12 34 N
12 35 N
12 36 N
12 37 H
12 38 H
12 39 N
12 40 T
12 41 B
12 42 H
12 43 N
12 44 T
12 45 T
12 46 T
12 47 T
12 48 T
12 49 H
12 50 T
13 1 H
13 2 T
13 3 B
13 4 N
13 5 T
13 6 N
13 7 N
13 8 T
13 9 N
13 10 N
13 11 T
13 12 N
13 13 N
13 14 T
13 15 N
13 16 T
13 17 N
13 18 H
13 19 H
13 20 N
13 21 H
13 22 N
13 23 H
13 24 H
13 25 N
13 26 N
13 27 H
13 28 N
13 29 B
13 30 N
13 31 N
13 32 N
13 33 N
13 34 N
13 35 T
13 36 H
13 37 N
13 38 N
13 39 T
13 40 N
13 41 N
13 42 H
13 43 N
13 44 N
13 45 N
13 46 N
13 47 H
13 48 N
13 49 N
13 50 N
14 1 N
14 2 T
14 3 B
14 4 N
14 5 H
14 6 N
14 7 T
14 8 N
14 9 N
14 10 B
14 11 N
14 12 T
14 13 B
14 14 N
14 15 T
14 16 N
14 17 N
14 18 N
14 19 T
14 20 H
14 21 N
14 22 T
14 23 H
14 24 N
14 25 T
14 26 N
14 27 N
14 28 T
14 29 T
14 30 B
14 31 N
14 32 T
14 33 N
14 34 N
14 35 N
14 36 T
14 37 T
14 38 T
14 39 H
14 40 N
14 41 N
14 42 N
14 43 H
14 44 H
14 45 N
14 46 N
14 47 H
14 48 N
14 49 T
14 50 N
15 1 N
15 2 T
15 3 H
15 4 N
15 5 B
15 6 N
15 7 H
15 8 N
15 9 N
15 10 T
15 11 N
15 12 B
15 13 H
15 14 B
15 15 N
15 16 N
15 17 B
15 18 H
15 19 B
15 20 T
15 21 N
15 22 H
15 23 N
15 24 T
15 25 N
15 26 N
15 27 N
15 28 N
15 29 H
15 30 B
15 31 N
15 32 H
15 33 T
15 34 T
15 35 B
15 36 N
15 37 H
15 38 H
15 39 N
15 40 H
15 41 H
15 42 H
15 43 N
15 44 N
15 45 H
15 46 H
15 47 N
15 48 N
15 49 T
15 50 N
16 1 N
16 2 N
16 3 T
16 4 N
16 5 B
16 6 B
16 7 N
16 8 H
16 9 N
16 10 N
16 11 T
16 12 H
16 13 N
16 14 N
16 15 B
16 16 N
16 17 T
16 18 T
16 19 T
16 20 N
16 21 N
16 22 N
16 23 N
16 24 N
16 25 T
16 26 N
16 27 H
16 28 N
16 29 N
16 30 B
16 31 H
16 32 N
16 33 N
16 34 T
16 35 N
16 36 H
16 37 B
16 38 N
16 39 N
16 40 H
16 41 T
16 42 H
16 43 T
16 44 H
16 45 T
16 46 N
16 47 H
16 48 T
16 49 H
16 50 H
17 1 N
17 2 N
17 3 N
17 4 B
17 5 T
17 6 B
17 7 H
17 8 H
17 9 N
17 10 T
17 11 H
17 12 N
17 13 N
17 14 N
17 15 H
17 16 N
17 17 N
17 18 N
17 19 N
17 20 H
17 21 N
17 22 N
17 23 N
17 24 H
17 25 N
17 26 N
17 27 H
17 28 N
17 29 B
17 30 T
17 31 N
17 32 N
17 33 T
17 34 T
17 35 H
17 36 N
17 37 N
17 38 T
17 39 N
17 40 T
17 41 T
17 42 N
17 43 N
17 44 N
17 45 N
17 46 N
17 47 B
17 48 N
17 49 N
17 50 T
18 1 N
18 2 T
18 3 T
18 4 B
18 5 N
18 6 N
18 7 N
18 8 H
18 9 H
18 10 N
18 11 T
18 12 H
18 13 H
18 14 N
18 15 N
18 16 T
18 17 H
18 18 N
18 19 H
18 20 N
18 21 B
18 22 N
18 23 B
18 24 N
18 25 N
18 26 H
18 27 N
18 28 T
18 29 B
18 30 T
18 31 N
18 32 N
18 33 B
18 34 T
18 35 N
18 36 N
18 37 N
18 38 N
18 39 N
18 40 T
18 41 N
18 42 T
18 43 H
18 44 N
18 45 N
18 46 N
18 47 N
18 48 T
18 49 B
18 50 N
19 1 H
19 2 N
19 3 N
19 4 B
19 5 N
19 6 B
19 7 B
19 8 T
19 9 N
19 10 H
19 11 N
19 12 N
19 13 N
19 14 N
19 15 T
19 16 B
19 17 N
19 18 H
19 19 B
19 20 N
19 21 T
19 22 N
19 23 N
19 24 N
19 25 N
19 26 T
19 27 B
19 28 N
19 29 T
19 30 H
19 31 N
19 32 N
19 33 N
19 34 N
19 35 T
19 36 T
19 37 N
19 38 B
19 39 H
19 40 N
19 41 N
19 42 N
19 43 N
19 44 T
19 45 H
19 46 T
19 47 B
19 48 N
19 49 H
19 50 H
20 1 N
20 2 N
20 3 T
20 4 N
20 5 N
20 6 N
20 7 T
20 8 N
20 9 B
20 10 T
20 11 T
20 12 N
20 13 B
20 14 T
20 15 N
20 16 H
20 17 T
20 18 N
20 19 N
20 20 N
20 21 H
20 22 T
20 23 T
20 24 B
20 25 N
20 26 N
20 27 H
20 28 N
20 29 T
20 30 N
20 31 T
20 32 N
20 33 N
20 34 B
20 35 T
20 36 N
20 37 N
20 38 N
20 39 N
20 40 H
20 41 T
20 42 H
20 43 N
20 44 H
20 45 N
20 46 N
20 47 H
20 48 N
20 49 T
20 50 N
21 1 T
21 2 N
21 3 T
21 4 T
21 5 H
21 6 N
21 7 T
21 8 N
21 9 T
21 10 T
21 11 B
21 12 B
21 13 N
21 14 N
21 15 H
21 16 B
21 17 B
21 18 T
21 19 T
21 20 N
21 21 N
21 22 N
21 23 N
21 24 H
21 25 T
21 26 H
21 27 N
21 28 B
21 29 T
21 30 H
21 31 H
21 32 N
21 33 T
21 34 N
21 35 H
21 36 H
21 37 H
21 38 H
21 39 N
21 40 B
21 41 N
21 42 N
21 43 B
21 44 N
21 45 N
21 46 T
21 47 B
21 48 B
21 49 H
21 50 N
22 1 N
22 2 T
22 3 B
22 4 N
22 5 N
22 6 H
22 7 T
22 8 N
22 9 N
22 10 B
22 11 T
22 12 H
22 13 T
22 14 N
22 15 N
22 16 N
22 17 T
22 18 N
22 19 H
22 20 T
22 21 H
22 22 T
22 23 N
22 24 T
22 25 N
22 26 T
22 27 T
22 28 T
22 29 T
22 30 H
22 31 T
22 32 T
22 33 N
22 34 H
22 35 H
22 36 N
22 37 N
22 38 T
22 39 B
22 40 H
22 41 N
22 42 N
22 43 N
22 44 N
22 45 B
22 46 H
22 47 B
22 48 N
22 49 N
22 50 N
23 1 T
23 2 N
23 3 N
23 4 H
23 5 N
23 6 N
23 7 B
23 8 T
23 9 N
23 10 N
23 11 N
23 12 T
23 13 N
23 14 N
23 15 N
23 16 H
23 17 H
23 18 N
23 19 N
23 20 H
23 21 N
23 22 N
23 23 H
23 24 N
23 25 H
23 26 T
23 27 N
23 28 B
23 29 T
23 30 B
23 31 N
23 32 N
23 33 T
23 34 N
23 35 N
23 36 H
23 37 N
23 38 N
23 39 H
23 40 N
23 41 T
23 42 N
23 43 T
23 44 N
23 45 N
23 46 N
23 47 N
23 48 T
23 49 N
23 50 H
24 1 N
24 2 N
24 3 H
24 4 B
24 5 N
24 6 N
24 7 N
24 8 N
24 9 H
24 10 N
24 11 H
24 12 T
24 13 B
24 14 T
24 15 H
24 16 N
24 17 H
24 18 H
24 19 B
24 20 H
24 21 N
24 22 N
24 23 T
24 24 H
24 25 T
24 26 N
24 27 T
24 28 N
24 29 N
24 30 H
24 31 N
24 32 H
24 33 N
24 34 N
24 35 N
24 36 T
24 37 T
24 38 N
24 39 N
24 40 N
24 41 H
24 42 N
24 43 N
24 44 N
24 45 H
24 46 B
24 47 N
24 48 B
24 49 N
24 50 N
25 1 N
25 2 T
25 3 H
25 4 B
25 5 H
25 6 N
25 7 H
25 8 T
25 9 H
25 10 B
25 11 H
25 12 N
25 13 T
25 14 H
25 15 N
25 16 H
25 17 T
25 18 H
25 19 H
25 20 N
25 21 T
25 22 B
25 23 T
25 24 T
25 25 N
25 26 N
25 27 T
25 28 N
25 29 N
25 30 N
25 31 B
25 32 N
25 33 T
25 34 N
25 35 N
25 36 H
25 37 N
25 38 T
25 39 B
25 40 T
25 41 T
25 42 T
25 43 N
25 44 B
25 45 N
25 46 T
25 47 N
25 48 N
25 49 T
25 50 B
26 1 N
26 2 H
26 3 H
26 4 N
26 5 H
26 6 N
26 7 T
26 8 B
26 9 H
26 10 N
26 11 N
26 12 H
26 13 H
26 14 B
26 15 H
26 16 N
26 17 B
26 18 N
26 19 N
26 20 N
26 21 N
26 22 T
26 23 H
26 24 N
26 25 N
26 26 H
26 27 B
26 28 H
26 29 N
26 30 T
26 31 T
26 32 N
26 33 T
26 34 H
26 35 N
26 36 N
26 37 N
26 38 H
26 39 N
26 40 H
26 41 H
26 42 N
26 43 N
26 44 T
26 45 N
26 46 N
26 47 T
26 48 N
26 49 N
26 50 T
27 1 T
27 2 N
27 3 N
27 4 N
27 5 N
27 6 N
27 7 T
27 8 T
27 9 H
27 10 N
27 11 T
27 12 T
27 13 N
27 14 H
27 15 N
27 16 B
27 17 T
27 18 T
27 19 N
27 20 N
27 21 H
27 22 T
27 23 N
27 24 N
27 25 T
27 26 T
27 27 H
27 28 H
27 29 N
27 30 N
27 31 B
27 32 N
27 33 N
27 34 H
27 35 N
27 36 N
27 37 N
27 38 T
27 39 B
27 40 H
27 41 B
27 42 N
27 43 N
27 44 B
27 45 T
27 46 N
27 47 B
27 48 H
27 49 H
27 50 B
28 1 T
28 2 T
28 3 T
28 4 T
28 5 H
28 6 N
28 7 N
28 8 H
28 9 B
28 10 N
28 11 H
28 12 T
28 13 N
28 14 N
28 15 B
28 16 H
28 17 N
28 18 N
28 19 N
28 20 T
28 21 T
28 22 N
28 23 N
28 24 N
28 25 N
28 26 N
28 27 N
28 28 N
28 29 N
28 30 N
28 31 T
28 32 T
28 33 N
28 34 N
28 35 H
28 36 N
28 37 H
28 38 N
28 39 N
28 40 N
28 41 N
28 42 N
28 43 N
28 44 N
28 45 N
28 46 B
28 47 N
28 48 B
28 49 T
28 50 T
29 1 N
29 2 T
29 3 T
29 4 T
29 5 H
29 6 B
29 7 N
29 8 N
29 9 T
29 10 N
29 11 N
29 12 N
29 13 H
29 14 B
29 15 N
29 16 N
29 17 H
29 18 N
29 19 B
29 20 N
29 21 T
29 22 T
29 23 H
29 24 T
29 25 B
29 26 T
29 27 N
29 28 N
29 29 H
29 30 H
29 31 B
29 32 N
29 33 H
29 34 N
29 35 H
29 36 N
29 37 N
29 38 H
29 39 T
29 40 N
29 41 N
29 42 H
29 43 N
29 44 B
29 45 N
29 46 T
